thread, time
1, 7.39523
2, 3.75798
4, 2.00461
8, 1.12824
16, 0.709814
32, 0.495482
48, 0.565592
64, 0.469641
72, 0.553425
80, 0.505259
1, 7.39255
2, 3.76778
4, 2.03095
8, 1.1162
16, 0.650597
32, 0.506495
48, 0.496264
64, 0.530823
72, 0.4992
80, 0.527257
1, 7.33048
2, 3.7926
4, 2.05787
8, 1.19461
16, 0.746139
32, 0.538432
48, 0.538715
64, 0.490196
72, 0.581238
80, 0.545269
