thread, time
1, 17.6033
2, 8.92076
4, 4.74321
8, 2.7724
16, 1.65246
32, 0.936302
48, 0.870042
64, 0.761584
72, 0.715878
80, 0.713988
1, 17.6048
2, 10.052
4, 5.50228
8, 3.13916
16, 1.507
32, 0.876129
48, 0.820763
64, 0.762582
72, 0.750842
80, 0.725995
1, 21.3921
2, 9.01089
4, 4.789
8, 2.73496
16, 1.59041
32, 1.07801
48, 0.888886
64, 0.77968
72, 0.659004
80, 0.740167
