thread, time
1, 18.105
2, 8.98183
4, 5.6636
8, 2.63142
16, 1.73621
32, 1.0291
48, 1.03275
64, 0.758023
72, 0.690877
80, 0.749867
1, 17.5404
2, 9.14723
4, 4.78136
8, 2.61665
16, 1.51424
32, 1.18355
48, 0.804203
64, 0.684567
72, 0.740177
80, 0.701573
1, 17.3768
2, 10.7632
4, 4.79692
8, 2.58224
16, 1.48473
32, 1.16065
48, 0.899125
64, 0.830505
72, 0.648822
80, 0.742028
