thread, time
1, 7.38532
2, 3.82301
4, 2.19693
8, 1.13394
16, 0.676792
32, 0.700005
48, 0.532258
64, 0.622236
72, 0.488984
80, 0.482567
1, 7.64041
2, 3.77141
4, 2.0429
8, 1.15163
16, 0.650865
32, 0.642503
48, 0.525531
64, 0.435105
72, 0.4996
80, 0.491655
1, 7.34178
2, 3.7737
4, 2.11048
8, 1.25605
16, 0.642819
32, 0.659496
48, 0.544395
64, 0.474776
72, 0.454364
80, 0.477407
