thread, time
1, 7.570810
2, 15.529256
4, 20.361667
8, 22.132672
16, 22.176902
32, 12.756862
48, 9.928098
64, 8.215968
72, 8.717880
80, 8.611472
1, 7.566276
2, 15.983902
4, 20.213413
8, 22.014424
16, 22.062278
32, 11.733882
48, 10.760946
64, 8.426672
72, 8.735411
80, 8.475549
1, 7.579834
2, 15.950616
4, 19.427535
8, 21.758349
16, 21.706723
32, 12.588358
48, 9.964192
64, 8.901354
72, 7.501044
80, 7.404225
