thread, time
1, 17.618728
2, 9.048999
4, 4.840708
8, 2.714510
16, 1.741808
32, 1.163802
48, 0.971564
64, 0.851156
72, 0.782968
80, 0.697781
1, 17.621510
2, 8.947434
4, 4.758182
8, 2.674072
16, 1.572154
32, 1.186652
48, 0.938272
64, 0.706512
72, 0.685958
80, 0.750195
1, 17.614257
2, 9.088557
4, 4.769870
8, 2.604893
16, 1.495441
32, 0.916060
48, 0.870185
64, 0.677109
72, 0.654556
80, 0.747361
