thread, time
1, 7.417184
2, 17.594853
4, 19.383920
8, 19.478502
16, 11.938983
32, 6.775049
48, 5.249660
64, 5.103916
72, 5.568901
80, 5.782754
1, 7.412206
2, 17.119310
4, 19.848343
8, 18.965324
16, 10.627605
32, 6.014707
48, 6.034308
64, 5.540395
72, 5.842207
80, 5.047158
1, 7.414427
2, 18.224980
4, 19.326671
8, 18.802394
16, 11.049028
32, 6.178475
48, 6.648436
64, 5.380391
72, 5.513164
80, 5.543117
